,Sentence
388,guangzhou beijing seats comfortable
389,cabin crew attentive friendly helpful
390,service prompt efficient overall pleasant flight
391,price paid good value money business class
392,✅ verified review family enjoyed fantastic flight china southern airlines guangzhou back new york april 5th 2016
393,cabin crews excellent good service made trips unforgettable
394,onboard cabin clean seats comfortable foods excellent good service cabin crew polite manners smiling face
395,✅ verified review china southern airlines guangzhou sydney great airline terrific staff
396,flown china southern times always come away fully satisfied happy experience
397,booking check helpful polite cabin crew airline enough make flight joy
398,first long haul flight dreading reading earlier reviews
399,however flight lhr syd via china southern airlines great though lovely helpful staff food ok im fussy eater entertainment good
400,seats economy pretty cramped want better economy pay
401,travelled perth 25th june china southern airlines excellent service cabin staff
402,choice food entertainment good although long journey staff polite
403,travelled business class guangzhou la apr 29 cz327 seats comfortable good range movies select food drinks good staff friendly
404,travelled business class guangzhou sydney seats comfortable good range movies select food drinks good good service
405,service seating cabin staff good legs flights nz london late june 2013
406,first flight nz guangzhou one older planes unfortunately lay flat beds z type passable comfortable lie flat beds guangzhou london flight food refreshments good excellent looking forward return trip nz 2 days time china southern feel sure another happy experience
407,boeing 737700 ashgabat urumqi seats dirty inflight entertainment staff speak poor english dont want reply asked something
408,urumqi beijing boeing 777200 story staff want speak english poor quality food dirty seats
409,flight service okay seats avro r85 narrow although legroom small plane acceptable uncomfortable
410,great service fair price attentive crew convenient time saving antwerp airport lcy return
411,✅ trip verified upon recent travel durban johannesburg sunday 14th july 2019 disappointing find welcomed aboard rude flight attendants
412,frambafra seating business class okay charter competitors better
413,personal inflight entertainment screens bulkhead
414,good choice meals good selection wine
415,crew friendly professional
416,pleasant staff decent food space us carriers advance online abilities checkin menu printed duplications reversals one handed almost everyone business
417,copa offered excellent service business class lax gig panama
418,upgrade return lax however coach service good better us airlines
419,offer good service good prices
420,travelled last year panama city los angeles business cabin everything perfect
421,flight attendants helpful friendly
422,catering good offer wide selection food good selection drinks
423,verified old boeing 747 aircraft clean enough legroom
424,entertainment average airline value money pay get
425,paid round trip 11 hours flight amazing island reunion 630 good price complain
426,corsair offer solid product food bad board many airlines offer higher rates serve bad food well
427,clean plane good friendly service offer enough drink flight include wine
428,flew gatwick zagreb modern new fleet aircraft 2nd april good flight good leg room meal tasty free wine coffee soft drinks welcome
429,return leg zagreb heathrow two weeks later flew older plane extremely good leg room courteous staff tasty meal free drinks inflight entertainment travelog croatia playing overhead screens
430,prggva really worth flight time drinks served 3 times hour flight
431,new aircraft nice entertainment get really much less money
432,delta air lines flight time amsatl boeing 747400
433,cabin crew friendly helpful cheerful
434,entertainment systems nice big selection movies
435,pretty calm flight considering flight completely full flight attendants quick professional
436,flight delay 1 hour atlmex boeing 737700 3
437,5 hour flight entertainment system seat food ok flight attendants friendly cheerful
438,flew delta air lines new york manchester august wonderful flight couldnt fault anything
439,seats comfortable inflight entertainment everything could want food great staff excellent
440,purser flight took great care us
441,comfort plus nearly worth upgrade fee seat still poor leg room good
442,baggage delayed 48 hours insincere apologies online folks
443,staff however great
444,cdg ord march 3 one week later back flights leaved time plenty food decent inflight entertainment great choice international movies would fly
445,good flight dus lax transfer atl
446,service flights good even meals innerusa flight free
447,cdgmindfw great service nice staff managed get luggage 1 hour connection got plane 15 min take
448,flew chongqing hong kong flight went smoothly excellent catering good crew
449,side a320 seating looks bit worn otherwise good experience
450,hong kong beijing flight delayed 40 mins
451,seat comfortable food great
452,however personal television screen
453,fly oil rigs time ive never poor frustrating service
454,eastern airways consistently late never tell
455,really hope another airline comes aberdeen provide professional service price eastern airways charge embarrassed service
456,usual easyjet flight time reasonable refreshments available pleasant staff seats bit hard couple hours
457,poor instructions ground crew unhelpful cabin crew distasteful unprofessional say get pay prices paid far normal schedule fare look elsewhere next time
458,good clean aircraft
459,flights scheduled time crew members attitude giving safety instructions bad
460,would recommend easyjet lucrative pricing short haul offerings time flights reasonably new aircraft
461,asked board milan malpensa find left hot stuffy jetway 30 minutes wasnt error happened two weeks later another easyjet flight milan obviously done convenience staff comfort passengers
462,good flight comfortable seat enough space good service meals
463,✅ trip verified berlin cairo back excellent airline fast checkin smooth boarding charming flight attendants good food quality quantity three choices chicken beef fish ife overhead screens music channels good enough four hours flight
464,flight ms 735 cairoistanbul boeing 737800 fine entertainment
465,food good crew wasnt bad coming back istcairo crew bad entertainment nonexistent unlike airlines
466,checkin fine
467,boarding bad
468,trip caidxb economy class trip time arrived 15 min earlier scheduled time
469,food beverages good inflight entertainment excellent
470,ruhcaidme moscow excellent value money nice transfer hall cairo airport good prices duty free shop friendly staff service
471,caibom economy say flying b737800 almost 6hr overnight flight would extremely uncomfortable fact managed get 3 seats laid across managed get 34hrs sleep
472,ife ancient overhead monitors food horrible staff surly seem want
473,seats narrow uncomfortable leg room flight new york tel aviv 777 jet
474,food good airline food service good
475,ewrtlv b777 business class fantastic staff good food
476,business class seats comfortable 12 hour flight tlvjfk old 747 business class
477,food good nice staff nice lounges newark tlv
478,great regional airline
479,even though old aircraft well kept clean
480,service great 1 hour flight caramel juice
481,staff professional friendly thorough safety regulations
482,good flight bangkok dubai emirates excellent flight dubai birmingham
483,lounge dubai quiet great breakfast offerings
484,crew dxb bhx excellent attentive service food wine top quality
485,inflight entertainment good
486,dallas dubai return october 2015 emirates worst flights
487,seats cramped poor service filthy bathrooms crying children entire flight
488,great hopes airline would exceptional exceptionally bad
489,delays emirates overall decent experience flight munich hong kong via dubai
490,good food option legs nice entertainment system
491,seats could comfortable lot leg room
492,small cramped seats seat configaration 3x4x3 tight
493,food great plane food service great entertainment great future flights wont emirates need little room long haul
494,flew economy lgwak cabin crew excellent
495,seats 777 lgwdub dub cramped 3x4x3 config
496,a380 could fault great service 4 flights
497,aucklanddubailhr economy connecting flight ek 1 lhr delayed dubai 1hr explanation given ground staff fact appeared unprofessional aircraft get adequate response captain gave full explanation
498,coincidence leg heathrow dubai also delayed exactly 2 weeks earlier wonder scheduling problem
499,a380 huge aircraft size comes big logistics cabin crew particularly attentive water long flight offered infrequently service anywhere near service given asiana airlines auckland year earlier
