,Sentence
3304,197cm tall back laid turned bed offset legs makes uncomfortable stretch
3305,preferred row 31 seats adding previous comment find best food menu available anymore last row pantry
3306,seats uncomfortable long haul
3307,comfortable economy seat remember flight 11 hour
3308,service also excellent worth extra cost
3309,seat 43a full recline seating behind making good seats galley noiselight issues
3310,good seat window next seat quite good food
3311,every uncomfortable flight economy class due reduced seat width even asian smaller body size
3312,great seat great cathay service usual flew hkgkunming seat next empty could stretch great regional economy class
3313,poor seat many interupt lavatory
3314,flew seat mexlhr confortable seat huge legroom entertainment wasnt best nice dinner delicious breakfast really nice
3315,overall good seat
3316,worst expensive airline ever seat doesnt rest tv doesnt work dont fly aeromexico never help
3317,36 ross make seats confortable flight am2 boeing 777
3318,nice aircraft nice seats
3319,seat good window visibility immediately ahead propeller may bit noisier
3320,quite comfortable seat quite noisy right behind engines think aircraft overall noisy anyhow
3321,2 windows comfortable quiet
3322,sat seat boise seattle fairly noisy turboprop time turboprop flights quietest one enjoy flying q400 going 3 summer
3323,close proximity engine makes noisy flight
3324,felt seat good leg room front ideal disembarking
3325,great window seat got cricked neck looking back
3326,good seats good full window view 3d close toilets exit point
3327,window slightly behind seat making uncomfortable look
3328,prop row best avoided unless good noise cancelling headphones
3329,ive flown many times aircraft exactly says tin good aircraft gets going quite comfortable crew great job looking flight im quite happy use ever im flying internal uk flights
3330,great flight adequate legroom 90 min flight recline comfortable enough
3331,great aircraft short haul
3332,fast decent comfort roomier cabin crj good sized well placed windows
3333,pretty nice seat
3334,choose seat charge 24h taking check
3335,seat 2nd row comfortable spacious
3336,crew top notch warm friendly extremely professional
3337,served lovely hot meal wine enjoyed great flight toronto fort myers
3338,plane little cramped unbearably similar every budget airline
3339,three hours fine flight full
3340,staff good gave free drink
3341,seats tight leg room 5 inches shorter pitch economy versus premium economy
3342,beware rouge aircraft air canada crams two rows versus regular model
3343,comfortable bulk head seat washroom problem
3344,sixfeet legroom little tight especially small bag feet
3345,first last time rouge though threehour flight orlando toronto wifi entertainment system unless used device complimentary snacks aircraft features overhead personal air jets cool stuffy cabin
3346,first 10a seat bad 45 minutes noticed barely exit row seat taken changed
3347,extra space 13th 14th row great tall people
3348,11c good seat economy class food arrive fast
3349,equipment leg space
3350,12 legroom crew jumpseat front taking leg room
3351,boeing 777300er moscownew york plastic block something bottom front seat reduces space foot
3352,seats aligned generous seat pitch highly recommendable
3353,angleflat business class seats ok short flights quite uncomfortable overnight flight singapore brisbane
3354,space front seat reduced due metal box
3355,comfortable flight sq
3356,seat perfect aligned window also perfect wing view
3357,legroom fine reason seat doesnt recline
3358,extra leg room great im 61 much better normal seat
3359,good seat normal pitch galleystoilets bothersome
3360,exit row tiny fisheye window exit door
3361,large person 120kg 176 cm found seat great plenty leg room trolley use narrow hitting like airlines service fantastic close toilets needed great flight would highly recommend
3362,dont need window good pe seat
3364,agree comments sings pe seat arrangements cramped extra money pay extra fee seat next time
3365,two seats best plane although illuminator leg room wide seat bc seats triangle corner space legs
3366,seats row 11 legroom
3367,galley bothersome meal service comes second galley
3368,good seat economy little extra leg room curve body plane
3370,recline good almost noise gally
3371,good seat
3372,although near lavatory seat well seats row leg space whole width seat rows putyour legs half width
3373,seats row 17 offer excellent comfort sleeping giving impression first class suite
3374,seat 14k great seat
3375,seat row 65a windows
3376,seat nice cause nice big leg room sit view really good cause wing block view
3377,standard uncomfortable seat took couple days get twisted back misshaped seat super uncomfortable bed worse better sq poor product carpet grubby old pub
3378,good business quality large bed seat comfortable pillows little mirror lots different plugs devices
3379,good service good food
3380,one worst seats ever sat close galley almost noise non stop noise doors opening shutting incessantly
3381,leg room standard business hutch noise way compensated
3382,huge price ticket total waste money recently flight ba pe a380 much comfortable
3383,seat pretty tight regional aircraft commonly used 2530min sectors
